lastCred,interest,payment,remCred,isFraud
63692.58,0.04,2233.54,61671.35,0
92770.75,0.01,3692.1,89155.96,0
77919.53,0.02,462.31,77587.09,0
48001.71,0.04,2018.77,46142.95,0
37630.97,0.04,871.13,36885.28,0
94439.05,0.0,4291.99,90147.06,0
69300.44,0.01,3664.29,65693.9,0
62627.77,0.05,4734.75,58153.97,0
92502.22,0.01,1491.47,91087.84,0
52267.67,0.05,3179.7,49305.75,0
62127.03,0.05,2002.09,60383.8,0
60015.6,0.02,1695.11,58420.52,0
8122.08,0.02,1754.47,6381.15,0
78051.81,0.03,4234.94,74012.0,0
11627.87,0.03,1137.38,10519.56,0
42499.78,0.04,1228.74,41412.71,0
62700.04,0.03,1280.14,61576.65,0
97313.9,0.03,4906.7,92650.48,0
14814.37,0.04,3729.84,11133.91,0
33954.56,0.03,2940.34,31099.11,0
5146.78,0.02,1574.36,3581.0,0
11662.21,0.0,577.14,11085.07,0
43518.8,0.04,1775.69,41888.17,0
66997.4,0.02,2855.86,64253.2,0
45589.06,0.04,3097.81,42643.21,0
76234.98,0.05,3731.47,72821.16,0
50459.68,0.04,3923.3,46704.58,0
84307.65,0.04,2705.21,81883.47,0
4380.0,0.02,3633.85,753.45,0
84833.28,0.02,1148.07,83826.6,0
65729.13,0.01,188.47,65595.43,0
57671.14,0.01,4949.6,52769.6,0
75864.09,0.04,1279.54,74837.43,0
17219.86,0.03,2172.94,15089.97,0
11579.95,0.01,1935.16,9751.2,1
40656.87,0.05,4328.59,36497.68,0
83172.5,0.01,1198.18,82043.63,0
29408.8,0.01,428.15,29005.16,0
19246.8,0.05,209.81,19117.18,0
37141.8,0.04,129.52,37136.09,0
32598.16,0.02,3143.29,29509.2,0
86592.32,0.01,3860.33,82804.15,0
9382.2,0.01,419.35,8970.67,0
13955.36,0.0,4259.33,9696.03,0
49653.87,0.03,4052.64,45725.36,0
4535.25,0.03,35.1,4511.49,0
40195.37,0.02,2900.81,37361.55,0
75402.56,0.05,2743.4,72973.34,0
83512.73,0.04,4096.84,79694.27,0
8763.38,0.04,4218.51,4574.08,0
31464.27,0.05,3114.19,28481.18,0
78611.24,0.01,1203.59,77473.16,0
5519.93,0.04,1983.83,3554.5,0
69097.81,0.05,1099.37,68286.35,0
51215.57,0.01,2120.69,49137.56,0
9000.17,0.03,258.97,8763.7,0
38818.16,0.0,4027.94,34790.22,0
3211.21,0.04,879.4,2342.51,0
6066.45,0.04,4662.32,1424.35,0
16506.6,0.02,4299.09,12235.02,0
15671.84,0.05,3695.67,12041.47,0
97269.78,0.01,3638.01,93712.83,0
19176.66,0.03,1166.04,18058.56,0
35776.09,0.02,4589.37,31246.35,0
55609.26,0.04,941.89,54852.73,0
76277.67,0.04,2250.8,74281.13,0
7481.58,0.02,3218.56,4275.49,0
89613.23,0.02,3781.67,85980.92,0
96130.82,0.03,1647.83,94723.32,0
88275.15,0.03,1003.01,87492.83,0
37337.76,0.01,2787.5,34581.37,0
52666.86,0.02,1595.49,51159.15,0
24870.25,0.02,2819.58,22092.12,0
15015.69,0.02,1363.19,13677.53,0
48769.0,0.04,906.25,48025.31,0
43199.01,0.03,2513.31,40793.7,0
17949.47,0.03,2010.49,15983.85,0
59575.15,0.02,4935.32,54739.12,0
9187.53,0.04,441.46,8776.7,0
62227.06,0.0,2164.35,60062.71,0
72789.03,0.02,4542.14,68368.21,0
81090.18,0.02,1908.17,79317.16,0
76091.37,0.03,751.66,75529.94,0
31823.38,0.01,581.38,31268.52,0
14152.14,0.02,93.84,14081.89,0
62533.8,0.0,4750.84,57782.96,0
75002.64,0.04,3517.73,71734.92,0
27310.44,0.01,108.12,27225.08,0
59120.71,0.02,3741.35,55477.89,0
28078.94,0.01,1176.12,26926.22,0
49001.04,0.04,4339.06,44825.32,0
36116.69,0.05,400.47,35866.71,0
88504.47,0.03,1768.26,86957.47,0
75786.71,0.04,1332.45,74706.88,0
65582.56,0.04,2564.57,63236.6,0
72012.75,0.01,2892.01,69180.75,0
61743.35,0.02,4989.73,56856.53,0
78982.27,0.04,1867.06,77378.48,0
23276.13,0.02,2195.97,21118.95,0
50818.96,0.01,3244.86,47616.45,0
52515.06,0.02,4333.94,48268.65,0
66161.81,0.03,2008.91,64318.3,0
67884.11,0.02,347.45,67649.8,0
5348.03,0.0,1796.26,3551.77,0
45642.08,0.01,1165.23,44514.89,0
29043.68,0.01,2458.02,26609.86,0
6073.26,0.0,2239.71,3833.55,0
63194.33,0.02,4863.79,58435.86,0
19490.0,0.04,1955.88,17599.09,0
7121.19,0.05,3103.02,4047.84,0
82959.88,0.03,2297.46,80869.82,0
78393.35,0.01,1500.65,76958.03,0
1579.45,0.01,221.74,1359.03,0
34694.16,0.0,2319.59,32374.57,0
23152.52,0.03,1663.07,21547.33,0
93097.51,0.05,1184.39,92301.03,0
58503.04,0.01,2691.09,55860.7,0
27522.75,0.02,225.33,27343.29,0
98376.31,0.04,1657.37,97046.86,0
32886.66,0.04,1612.4,31383.88,0
45206.84,0.04,684.47,44673.06,0
34460.78,0.04,4327.38,30248.27,0
41006.74,0.01,329.24,40711.67,0
7378.6,0.02,2153.74,5237.16,0
65190.3,0.04,1652.96,63754.64,0
41200.83,0.01,99.88,41135.28,0
92843.99,0.0,2520.16,90323.83,0
76258.78,0.0,2551.39,73707.39,0
46236.35,0.01,4444.5,41830.38,0
92666.53,0.04,4419.66,88555.76,0
36969.98,0.03,2350.2,34712.2,0
37984.79,0.04,1539.12,36572.29,0
6817.03,0.0,4425.29,2391.74,0
37452.07,0.05,3612.27,33995.85,0
54296.94,0.02,3022.71,51364.72,0
27569.02,0.05,2980.29,24703.6,0
69169.61,0.04,894.66,68505.52,0
48273.65,0.01,1582.24,46731.64,0
84505.41,0.05,2502.76,82354.76,0
39625.01,0.04,2678.47,37078.62,0
81428.82,0.0,1399.79,80029.03,0
21164.63,0.02,2199.27,19000.63,0
65211.95,0.03,251.92,65123.06,0
11662.55,0.02,2284.57,9397.42,0
1412.05,0.04,778.82,637.94,0
84843.54,0.05,2878.15,82318.9,0
28743.1,0.02,3372.7,25418.31,0
87649.74,0.0,643.34,87006.4,0
20715.3,0.03,2546.03,18221.06,0
34913.16,0.05,1467.28,33591.35,0
16169.73,0.01,664.3,15518.9,0
85197.02,0.02,3673.45,81665.57,0
65015.51,0.03,3769.07,61408.98,0
33099.98,0.01,1154.6,31972.96,0
53929.69,0.01,426.66,53547.97,0
21312.52,0.01,3105.48,18224.8,0
53444.58,0.03,2105.97,51472.22,0
74721.46,0.04,738.4,74232.13,0
68256.52,0.04,819.82,67664.22,0
38555.7,0.03,4100.69,34551.4,0
37602.13,0.05,887.31,36871.5,0
78600.82,0.03,2379.77,76417.55,0
6229.21,0.03,1322.28,4922.5,0
92881.53,0.02,1973.67,91062.66,0
28472.66,0.03,3581.89,24961.95,0
59870.49,0.01,2521.54,57398.84,0
97320.58,0.02,1310.52,96172.26,0
65924.4,0.01,1208.75,64770.59,0
52954.02,0.0,4232.12,48721.9,0
29631.05,0.03,2283.12,27422.01,0
14823.14,0.03,895.36,13964.84,0
69887.12,0.04,539.65,69580.43,0
20074.01,0.03,158.26,19965.94,0
38420.08,0.04,877.12,37671.03,0
57478.5,0.04,3970.12,53699.97,0
86387.42,0.01,157.12,86302.29,0
74739.36,0.03,2467.95,72458.26,0
58520.78,0.02,4423.47,54194.84,0
53896.31,0.04,741.3,53334.66,0
62450.32,0.02,742.6,61811.8,0
29350.83,0.0,4123.14,25227.69,0
89964.35,0.04,2029.75,88234.48,0
24029.41,0.01,2343.16,21706.27,0
9918.39,0.0,4657.44,5260.95,0
74247.19,0.02,4799.49,69571.45,0
46418.21,0.03,3484.68,43049.58,0
79993.93,0.03,379.78,79814.13,0
23469.64,0.05,4079.3,19488.13,0
44640.08,0.05,2527.07,42299.01,0
52873.58,0.01,2847.58,50070.06,0
52031.96,0.01,196.19,51879.13,0
50502.87,0.01,1993.84,48551.12,0
36107.35,0.01,2400.99,33736.45,0
61593.83,0.02,3138.38,58558.11,0
93456.19,0.01,1093.36,92440.71,0
80087.99,0.04,3302.81,77217.28,1
79931.73,0.05,629.05,79635.73,0
21845.93,0.01,727.88,21136.25,0
69478.81,0.02,2701.54,66893.07,0
82489.21,0.05,3530.9,79302.02,0
5628.77,0.01,963.25,4670.21,0
72780.33,0.01,1689.92,71151.06,0
62819.25,0.05,1664.72,61416.28,0
41281.33,0.05,2505.55,38947.79,0
58311.69,0.04,3774.69,54731.37,0
44632.0,0.03,3572.51,41171.07,0
35949.86,0.02,2548.53,33461.25,0
32117.62,0.0,332.45,31785.17,0
8731.05,0.02,4845.26,3900.34,0
91244.06,0.03,4653.28,86818.89,0
95746.91,0.04,395.54,95690.3,1
96126.19,0.02,3270.81,93015.59,0
98660.18,0.03,1643.32,97263.51,0
69697.0,0.0,4016.97,65880.88,1
38793.21,0.04,4435.73,34486.79,0
86491.18,0.02,2124.08,84511.25,0
51688.18,0.01,1856.94,49874.31,0
1869.05,0.03,322.47,1551.25,0
5924.62,0.01,2290.57,3638.99,0
98843.9,0.04,4091.13,95082.25,0
51776.72,0.03,4845.36,47060.8,0
89084.66,0.05,1981.26,87474.59,0
23546.65,0.01,4391.24,19175.03,0
83018.8,0.02,3818.34,79338.82,0
49832.77,0.02,1501.98,48413.84,0
99315.1,0.02,4498.57,94982.06,0
57599.03,0.03,1307.67,56435.36,0
17569.05,0.0,3605.32,13963.73,0
92138.5,0.01,4555.8,87659.48,0
71550.11,0.02,3473.07,68196.29,0
22820.68,0.01,4911.88,17927.82,0
38668.6,0.05,4674.25,34155.47,0
61880.83,0.01,1723.31,60209.09,0
22390.17,0.03,1086.65,21359.5,0
14098.26,0.01,3872.22,10237.79,0
96929.14,0.01,138.33,96871.58,0
51476.66,0.02,2001.12,49561.33,0
66266.07,0.01,4397.09,61924.2,0
57085.9,0.02,3784.11,53396.93,0
49832.94,0.01,385.12,49489.35,0
85008.33,0.05,2028.33,83334.2,0
19889.06,0.05,641.69,19330.24,0
7248.79,0.02,1723.4,5537.47,0
98324.51,0.03,4176.75,94393.57,0
46252.79,0.04,171.47,46235.5,0
82515.11,0.03,3416.81,79304.59,0
84152.56,0.01,884.9,83337.79,0
86799.41,0.03,3817.6,83198.81,0
34257.49,0.04,3935.35,30436.33,0
52587.8,0.02,2274.63,50400.82,0
57375.43,0.04,1273.44,56293.24,0
37325.42,0.01,4631.72,32724.8,0
8652.44,0.03,1746.75,6927.32,0
11036.9,0.03,1797.27,9267.22,0
12023.51,0.03,2217.63,9835.94,0
6254.79,0.04,2628.61,3647.03,0
16695.02,0.04,63.94,16686.73,0
30701.36,0.02,4831.3,25921.23,0
18437.48,0.0,1828.49,16608.99,0
16833.07,0.03,4816.83,12058.32,0
15480.9,0.03,259.82,15259.78,0
83395.12,0.04,569.12,83103.98,0
50399.95,0.02,919.3,49564.65,0
15232.24,0.03,445.25,14847.33,1
85505.85,0.02,2043.4,83604.96,0
47887.56,0.0,4094.01,43793.55,0
30346.37,0.01,1389.77,28981.89,0
52718.52,0.03,3056.38,49793.94,0
51989.56,0.03,3130.6,48988.93,0
98125.93,0.01,2552.45,95655.25,0
16116.28,0.02,1228.68,14914.46,0
70256.0,0.01,2312.22,68002.33,0
40956.53,0.05,4436.82,36690.36,0
34075.48,0.01,4411.16,29692.72,0
4614.37,0.02,1999.97,2622.09,0
66477.3,0.04,1840.85,64858.04,0
60888.37,0.01,3420.77,57518.34,0
41285.41,0.03,922.81,40465.81,0
37925.17,0.04,1017.52,37034.07,0
61013.14,0.01,1871.3,59192.68,0
79071.51,0.03,3131.81,76293.97,1
23621.29,0.02,285.32,23375.34,0
61345.48,0.03,3041.94,58456.9,0
83792.45,0.01,1488.27,82374.01,0
29584.75,0.04,2284.31,27399.06,0
48589.0,0.02,3081.04,45588.94,0
47932.36,0.02,2416.38,45595.87,0
52320.9,0.02,1859.85,50548.25,0
80897.14,0.01,1294.08,79670.47,0
91309.42,0.02,777.21,90684.39,0
24232.77,0.04,429.12,23884.43,0
83910.0,0.02,3480.74,80569.11,0
88203.98,0.05,2960.11,85611.39,0
70465.23,0.04,2034.08,68666.03,0
41475.58,0.04,4094.19,37519.64,0
54289.08,0.05,3670.76,50844.52,0
48034.98,0.0,1345.54,46689.44,0
17847.78,0.03,3795.95,14096.45,0
42635.01,0.0,2106.92,40528.09,0
76084.94,0.04,327.58,76010.98,0
72985.43,0.01,4055.45,68990.8,0
32910.4,0.03,233.61,32759.07,0
95246.24,0.04,1628.47,93935.26,0
307.9,0.03,303.46,5.21,0
27015.09,0.01,4385.97,22651.63,0
53473.67,0.01,2549.68,50968.55,0
54861.51,0.03,4723.27,50275.39,0
26667.49,0.01,4717.06,21972.65,0
35102.97,0.02,4106.08,31055.39,0
58721.76,0.02,2965.95,56001.98,1
17454.08,0.04,4615.14,12897.12,0
65895.9,0.02,1799.06,64206.67,0
78163.13,0.05,1271.55,77217.26,0
44052.6,0.04,4360.0,39839.44,0
66954.25,0.03,561.63,66560.01,0
3843.48,0.04,3451.64,404.65,0
24839.45,0.02,2768.75,22112.1,0
54197.66,0.03,3003.29,51329.86,0
99406.32,0.01,2795.09,96694.07,0
3620.22,0.02,3271.47,354.78,0
39657.01,0.01,3167.97,36522.09,0
51599.2,0.01,3490.61,48151.59,0
77802.62,0.02,3944.07,73988.22,0
23318.96,0.04,1084.21,22312.48,0
81788.52,0.0,3449.4,78339.12,0
5184.13,0.02,2980.23,2212.54,0
15765.23,0.04,1298.51,14519.27,0
39483.3,0.03,1858.6,37723.41,0
67132.52,0.01,2789.46,64399.0,0
55127.63,0.01,813.9,54359.67,0
89860.27,0.02,3092.56,86917.48,0
15033.7,0.03,3931.69,11139.59,0
57312.87,0.04,1857.46,55646.45,0
31270.68,0.02,2209.9,29112.9,0
84134.19,0.03,3515.96,80828.57,0
76924.29,0.02,1307.55,75744.95,0
11351.08,0.05,3393.81,8004.57,0
60623.35,0.02,2610.07,58114.32,0
68814.42,0.02,431.07,68498.04,0
51543.79,0.0,1215.21,50328.58,0
49651.24,0.0,2033.92,47617.32,0
66352.57,0.02,3611.72,62851.44,0
4292.22,0.0,856.99,3435.23,0
31533.59,0.05,3653.52,28011.46,0
96895.21,0.03,3373.79,93763.66,0
66369.39,0.02,3415.12,63064.89,0
78653.97,0.0,4725.67,73928.3,0
94098.7,0.03,2011.94,92322.01,0
45007.9,0.0,4172.0,40835.9,0
21920.31,0.02,3469.57,18487.27,0
30854.47,0.03,1565.56,29366.05,0
79740.94,0.02,3448.02,76425.82,0
98297.95,0.01,2744.78,95635.08,0
32561.38,0.04,2591.02,30078.9,0
11409.3,0.04,4539.5,6907.83,0
91780.53,0.01,3532.54,88324.47,0
52516.83,0.03,4258.11,48390.01,0
8157.07,0.01,3704.45,4459.42,0
45512.6,0.03,2040.09,43586.29,0
40417.75,0.02,4366.0,36119.11,0
38377.24,0.03,3299.11,35174.07,0
43769.67,0.05,4493.24,39458.8,0
43762.99,0.0,537.12,43225.87,0
36781.82,0.04,701.14,36203.29,0
84243.71,0.01,1082.89,83231.02,0
57958.61,0.05,1029.31,57170.79,0
60319.78,0.04,4596.08,55924.77,0
16575.14,0.02,229.82,16372.95,0
39777.78,0.02,3064.49,36779.59,0
11766.9,0.05,3539.14,8276.79,0
68663.28,0.01,363.08,68357.42,0
13994.7,0.03,2132.79,11896.9,0
31530.64,0.03,481.01,31128.46,0
79582.5,0.02,3243.69,76471.45,0
62686.74,0.01,4805.91,57933.07,0
61976.2,0.0,2204.36,59771.84,0
7112.98,0.04,2957.7,4178.99,0
52117.65,0.02,3988.45,48216.06,0
83555.46,0.04,2493.46,81340.52,0
99095.06,0.02,3148.97,96111.25,0
18613.3,0.0,3942.82,14670.48,0
16192.22,0.02,3096.61,13122.6,0
85058.97,0.02,943.34,84257.39,0
41530.51,0.01,705.8,40859.32,0
12439.4,0.01,2588.72,9861.05,0
17861.94,0.03,900.25,17006.34,0
2035.07,0.02,740.69,1297.77,0
48578.62,0.04,2175.89,46564.66,0
5862.89,0.03,295.53,5582.02,0
90739.76,0.01,303.08,90512.3,0
1274.34,0.03,744.98,532.55,0
82447.37,0.01,4598.26,77917.82,0
12064.86,0.01,1953.27,10121.64,0
86536.83,0.01,4349.2,82259.74,0
3496.91,0.03,1407.08,2098.57,0
77507.43,0.01,388.76,77183.26,0
53722.5,0.04,1349.93,52551.64,0
87011.38,0.02,480.53,86675.87,0
10687.52,0.04,4079.78,6847.35,1
63612.09,0.05,1487.09,62390.05,0
78489.35,0.01,934.47,77620.29,0
29161.23,0.0,82.51,29078.72,0
68090.96,0.01,4539.36,63608.34,0
24932.98,0.01,3259.07,21694.69,0
85749.9,0.0,3160.69,82589.21,0
8567.8,0.03,851.23,7737.99,0
97154.71,0.0,2424.38,94730.33,0
17539.49,0.05,325.03,17287.54,0
32133.77,0.03,2803.66,29410.44,0
57547.56,0.02,4907.32,52736.15,0
46818.4,0.02,4892.77,42003.66,0
49984.96,0.04,4940.68,45210.9,0
3816.25,0.01,640.4,3179.03,0
3553.81,0.05,2044.0,1524.62,0
26120.99,0.01,4920.91,21221.85,0
86601.47,0.0,2390.98,84210.49,0
56554.14,0.03,632.27,56063.26,0
20316.99,0.01,256.16,20077.76,0
58512.87,0.02,4769.21,53841.18,0
35519.8,0.02,2516.92,33062.08,0
35877.8,0.03,1123.94,34843.55,0
88374.54,0.03,3599.94,84995.54,0
47882.98,0.02,3245.74,44717.04,0
44019.55,0.01,4983.05,39073.18,0
67632.91,0.0,2044.89,65588.02,0
87211.36,0.02,438.28,86918.43,0
85932.07,0.03,3565.42,82581.48,0
31760.57,0.01,515.86,31271.18,0
81727.26,0.03,2731.29,79200.29,0
79943.08,0.0,1081.86,78861.22,0
98207.07,0.02,3532.36,94838.39,0
81087.11,0.04,1978.87,79378.53,0
98548.7,0.04,1705.57,97171.63,0
96703.79,0.03,1804.33,95141.22,0
31741.57,0.01,1517.36,30250.66,0
48253.4,0.03,4633.59,43740.44,0
45092.48,0.02,3966.99,41200.64,0
41812.92,0.02,3703.84,38178.77,0
34649.02,0.01,841.24,33836.65,0
71784.6,0.04,2852.68,69171.2,0
35363.27,0.01,485.67,34907.07,0
85479.12,0.04,4055.84,81708.21,0
73387.19,0.01,1735.17,71713.18,0
1953.53,0.03,1587.52,370.89,0
22860.91,0.01,4822.04,18057.92,0
21197.24,0.03,4407.53,16842.7,0
58494.49,0.04,4419.27,54270.2,0
56510.3,0.01,776.97,55780.42,0
24203.19,0.03,1090.7,23173.0,0
26601.41,0.02,1225.67,25420.08,0
29543.25,0.05,3290.32,26376.03,0
46308.61,0.0,753.81,45554.8,0
12809.04,0.0,1216.1,11592.94,0
66553.99,0.01,2054.64,64554.81,0
10566.86,0.03,427.85,10165.43,0
77556.05,0.03,3010.56,74739.38,0
15177.3,0.03,1535.82,13679.42,0
79511.17,0.04,893.81,78882.4,0
37910.03,0.01,2400.83,35540.79,0
29674.49,0.01,138.16,29561.06,0
48829.29,0.05,3566.47,45466.28,0
26573.88,0.01,4378.98,22435.99,1
91134.54,0.04,1490.22,89948.1,0
11198.66,0.04,523.6,10712.39,0
41302.56,0.03,4821.96,36583.86,0
82167.96,0.03,1870.01,80503.37,0
75465.24,0.02,4702.9,70888.12,0
92721.02,0.01,2479.29,90319.0,0
29703.07,0.03,2492.66,27284.67,0
26058.53,0.03,1954.3,24169.38,0
4984.37,0.02,3377.09,1615.59,0
89729.84,0.01,526.64,89277.97,0
81089.43,0.01,308.26,80848.74,0
24036.2,0.02,2864.39,21211.87,0
88387.54,0.02,3162.8,85372.05,0
54863.14,0.04,1493.85,53552.17,0
45395.26,0.04,2382.16,43164.42,0
89560.92,0.04,4750.32,85109.14,0
67671.14,0.02,1175.5,66608.43,0
65652.78,0.05,1198.11,64728.22,0
20732.55,0.04,2183.45,18618.21,0
61333.0,0.01,4026.22,57357.89,0
73328.95,0.03,3721.83,69790.44,0
13820.66,0.04,3771.16,10095.57,0
96531.27,0.03,3897.79,92874.81,0
94399.41,0.02,2673.75,91882.99,0
41052.47,0.01,39.79,41046.89,0
7213.51,0.01,4829.63,2389.89,0
33630.86,0.04,178.19,33564.77,0
47466.9,0.0,483.23,46983.67,0
66121.34,0.03,1536.5,64750.14,0
72114.74,0.01,2265.19,69909.65,0
57065.31,0.05,3995.29,53307.79,0
27264.15,0.03,3374.67,23957.64,0
41659.48,0.05,2406.34,39426.72,0
47348.65,0.04,1106.81,46399.67,0
53886.06,0.03,2527.88,51492.9,0
86017.99,0.02,368.91,85792.44,0
15931.84,0.04,1346.31,14638.64,0
72559.68,0.02,4403.29,68277.32,0
46591.22,0.05,964.31,45821.04,0
3216.09,0.01,2445.37,773.4,0
87048.5,0.04,682.43,86656.23,0
28241.03,0.0,3695.73,24545.3,0
43820.44,0.03,1731.81,42198.18,0
8027.08,0.04,3611.03,4442.81,0
29328.2,0.05,1086.09,28364.31,0
7220.88,0.05,3787.79,3463.18,0
37386.71,0.01,822.48,36595.39,0
46272.74,0.02,2695.73,43654.13,0
82774.24,0.03,653.7,82327.48,0
11729.73,0.02,2243.73,9505.55,0
98332.33,0.04,1874.56,96785.54,0
64153.8,0.0,2578.41,61575.39,0
29950.15,0.02,3254.09,26745.98,0
89814.15,0.01,1811.41,88077.59,0
8651.67,0.0,321.73,8329.94,0
15901.19,0.02,2450.43,13477.26,0
57985.19,0.03,1594.5,56535.65,0
98388.26,0.02,394.88,98157.36,0
72563.87,0.02,4686.57,67998.24,0
8198.26,0.04,4825.12,3400.47,0
85016.51,0.03,4607.56,80621.49,0
41892.27,0.01,67.7,41859.48,0
39961.64,0.0,658.47,39303.17,0
25639.65,0.05,927.91,24818.57,0
51999.68,0.02,3950.36,48135.99,0
83452.34,0.0,1771.53,81680.81,0
91254.6,0.03,1861.27,89621.47,0
97428.88,0.0,4864.34,92564.54,0
30983.27,0.04,3077.3,28009.25,0
96638.84,0.01,4731.53,91987.84,0
54503.17,0.0,427.61,54075.56,0
19881.7,0.04,1042.67,18905.3,0
9226.13,0.04,1699.29,7557.59,0
73047.92,0.03,2494.3,70736.24,0
32675.42,0.04,4036.86,28747.48,0
75807.03,0.01,2733.73,73136.47,0
5681.89,0.03,4047.84,1648.25,0
99985.49,0.02,2969.84,97182.29,0
97979.38,0.0,3209.15,94770.23,0
80984.08,0.05,4653.0,76668.51,0
91029.39,0.0,533.26,90496.13,0
66617.97,0.04,4107.1,62732.93,0
47393.58,0.01,1100.1,46332.97,0
32258.15,0.0,3367.64,28890.51,0
68169.24,0.02,1191.36,67091.5,0
50293.21,0.03,3290.92,47128.02,0
17649.09,0.02,4735.79,12942.72,0
94700.77,0.03,2127.52,92810.0,0
86210.91,0.02,4205.92,82148.67,0
86111.82,0.0,2506.14,83605.68,0
31645.43,0.04,733.88,31017.03,0
2102.83,0.04,1339.13,770.71,0
8767.73,0.02,2797.13,5985.21,0
29956.4,0.03,2773.66,27257.63,0
4490.72,0.04,2405.27,2100.42,0
2668.21,0.05,202.36,2476.97,0
41606.32,0.01,504.55,41136.44,0
81118.58,0.01,2051.79,79134.39,0
29363.38,0.04,584.64,28876.62,0
37679.76,0.0,789.71,36890.05,0
39337.02,0.0,1251.61,38085.41,0
41334.63,0.03,2188.23,39249.74,0
84216.28,0.04,2281.69,82215.31,0
29035.78,0.02,452.07,28632.1,0
99537.64,0.05,1525.51,98426.87,0
24303.33,0.02,3899.94,20443.9,0
99309.8,0.05,3738.6,95984.99,0
6855.62,0.05,4846.12,2038.07,0
26212.88,0.01,4271.29,21963.43,0
50421.72,0.01,947.44,49516.3,0
89472.99,0.03,1857.57,87839.1,0
